object,count,location_raw,north,east,us_category,country,launch_year
Luna 16 descent stage,,"-0.513  ̊ N, 56.364  ̊ E",-0.513,56.364,,Soviet,1970
Landing Location,,"0.41  ̊ N, 23.26  ̊ E",0.41,23.26,Apollo 11,US,1969
Surveyor 6,,"0.473  ̊ N, -1.427  ̊ E",0.473,-1.427,Non-Apollo,US,1967
Ascent Stage  ,1,"0.67337  ̊ N, 23.47293  ̊ E",0.67337,23.47293,Apollo 11,US,1969
Lunar Retro-Ranging Reflector Experiment,1,"0.67408  ̊ N, 23.47297  ̊ E",0.67408,23.47297,Apollo 11,US,1969
Surveyor 5,,"1.461  ̊ N, 23.195  ̊ E",1.461,23.195,Non-Apollo,US,1967
Ranger 8,,"2.638  ̊ N, 24.787  ̊ E",2.638,24.787,Non-Apollo,US,1965
Lunar Orbiter 2,,"3.0  ̊ N, 119  ̊ E",3,119,Non-Apollo,US,1966
Luna 18,,"3.760  ̊ N, 56.655  ̊ E",3.76,56.655,,Soviet,1971
Luna 20 descent stage,,"3.787  ̊ N, 56.625  ̊ E",3.787,56.625,,Soviet,1972
Surveyor 2,,"5.5  ̊ N, -12  ̊ E",5.5,-12,Non-Apollo,US,1966
Lunar Orbiter 1,,"6.70  ̊ N, 162  ̊ E",6.7,162,Non-Apollo,US,1966
Luna 9,,"7.08  ̊ N, -64.37  ̊ E",7.08,-64.37,,Soviet,1966
Luna 5,,"8  ̊ N, -23  ̊ E",8,-23,,Soviet,1965
Luna 8,,"9.1  ̊ N, -63.3  ̊ E",9.1,-63.3,,Soviet,1965
Ranger 6,,"9.388  ̊ N, 21.480  ̊ E",9.388,21.48,Non-Apollo,US,1964
Luna 7,,"9.8  ̊ N, -47.8  ̊ E",9.8,-47.8,,Soviet,1965
Luna 23,,"12.666  ̊ N, 62.151  ̊ E",12.666,62.151,,Soviet,1974
Luna 24 descent stage,,"12.714  ̊ N, 62.213  ̊ E",12.714,62.213,,Soviet,1976
Lunar Orbiter 3,,"14.3  ̊ N, -97.7 E",14.3,-97.7,Non-Apollo,US,1967
Luna 13,,"18.87  ̊ N, -62.05  ̊ E",18.87,-62.05,,Soviet,1966
Ascent Stage,,"19.96  ̊ N, 30.50  ̊ E",19.96,30.5,Apollo 17,US,1972
Landing Location,,"20.10  ̊ N, 30.46  ̊ E",20.1,30.46,Apollo 17,US,1972
LM Descent Stage (plaque attached),,"20.19080  ̊ N, 30.77168  ̊ E",20.1908,30.77168,Apollo 17,US,1972
Central Station,,"20.19209  ̊ N, 30.76492  ̊ E",20.19209,30.76492,Apollo 17,US,1972
Lunokhod 2,,"25.827  ̊ N, 30.919  ̊ E",25.827,30.919,,Soviet,1973
Luna 21 Lander,,"26.003  ̊ N, 30.408  ̊ E",26.003,30.408,,Soviet,1973
LM Descent Stage (plaque attached),1,"26.13222  ̊ N, 3.63386  ̊ E",26.13222,3.63386,Apollo 15,US,1971
Laser Range Reflector,,"26.13333  ̊ N, 3.62837  ̊ E",26.13333,3.62837,Apollo 15,US,1971
Central Station,,"26.13407  ̊ N, 3.62981  ̊ E",26.13407,3.62981,Apollo 15,US,1971
Ascent Stage,1,"26.36  ̊ N, 0.25  ̊ E",26.36,0.25,Apollo 15,US,1971
Landing Location,,"26.6  ̊ N, 3.39  ̊ E",26.6,3.39,Apollo 15,US,1971
Luna 2,,"29.1  ̊ N, 0  ̊ E",29.1,0,,Soviet,1959
Luna 17 Lander,,"38.238  ̊ N, -34.997  ̊ E",38.238,-34.997,,Soviet,1970
Lunokhod 1,,"38.316  ̊ N, -35.004  ̊ E",38.316,-35.004,,Soviet,1970
Chang'e 3,,"44.12  ̊ N, -19.51  ̊ E",44.12,-19.51,,China,2013
Hiten spacecraft,,"55.3  ̊ N, -34.0  ̊ E",55.3,-34,,Japan,1990
Ranger 9,,"112.828  ̊ N, -2.387  ̊ E",112.828,-2.387,Non-Apollo,US,1965
